objid               ra       dec        z        Morph    T  Distance rMag umr amaj b_a name
587730773888860441   0.264999  14.580184  0.005718 Im/BCD   12 25.27 -15.03  0.59    25.9  0.68 SDSSJ000103.59+143448.6
587727223561388187   0.812671  16.145773  0.003516 SAa       1 16.47 -19.92  3.42   342.5  0.3  NGC7814
587727222487646439   0.929659  15.217976  0.002929 SAdm      8 14.13 -15.67  1.93    90.5  0.51 UGC00017
587727223025106954   2.193413  15.815708  0.002885 Im       10 13.94 -17.81  1.33    97.4  0.84 NGC0014
587727220877623551   2.203321  14.033716  0.0063   Sm/Im    10 27.56 -15.14  1.44    48.2  0.27 SDSSJ000848.74+140204.0
587727223025172592   2.471151  15.734668  0.00291  Im/BCD   12 14.03 -15.08  1.07    39.2  0.75 KUG0007+154
587730773353038125   2.785942  14.239657  0.002673 dI       10 13.08 -13.71  1.15    37.6  0.53 SDSSJ001108.62+141422.7
588290881370063107   3.061188  15.25744   0.006269 dI       10 27.42 -14.66  1.13    19.5  0.83 SDSSJ001214.68+151526.8
588290880027951469   3.201061  14.52532   0.006098 dI       10 26.74 -15.16  1.46    38.5  0.57 LSBCF608-V01
588290880027951254   3.262915  14.409983  0.006845 Im       10 29.71 -18.39  1.35    -9.  -9.   UGC00119
588290881638695155   3.415364  15.683842  0.006584 SAm       9 28.67 -15.58  1.09    69.   0.13 FGC005A
587724199885013149   7.284853  15.899121  0.002528 SAdm      8 12.43 -14.53  1.2     87.3  0.23 UGC00290
588015507662372972   8.342071  -1.121297  0.006618 SBdm      8 28.72 -16.79  1.7     58.5  0.72 UGC00328
587747297689337918  10.299104 -21.131567  0.005517 BCD      13 24.29 -17.2   0.88    45.7  0.73 ESO540-G014
587747074890072103  10.363207 -21.044674  0.00515  SB0/a     0 22.83 -18.67  1.44   158.9  0.32 NGC0216
587727179528339579  11.94807   -9.899531  0.004486 Sdm       8 20.15 -17.48  1.3    222.6  0.14 UGCA014
587731185672716368  12.998419  -0.486711  0.005407 dEbc     -7 23.8  -17.32  1.38    54.8  0.71 ARK018
587731187820331036  13.219993   1.213983  0.00499  SABd      7 22.13 -16.54  1.65    70.2  0.53 CGCG384-019
588015510349480080  14.485692   0.869137  0.007609 dI       10 32.54 -15.75  1.04    26.7  0.62 SDSSJ005756.56+005208.9
587743981436272714  15.354878   7.625991  0.007392 SABm      9 31.65 -17.83  1.5    113.   0.41 UGC00634
587731514215563353  16.943521   1.063671  0.00219  dI       10 10.87 -15.4   1.13    68.2  0.88 UGC00695
587731514215760014  17.283075   1.121029  0.003855 dI       10 17.5  -14.79  0.73    44.7  0.5  SHOC053
588015510351118339  18.232364   0.981506  0.003843 SABdm     8 17.43 -18.79  1.86    -9.  -9.   NGC0428
588015510351184046  18.413968   0.875452  0.003873 Sm/Im    10 17.55 -13.73  0.69    26.2  0.71 UGC00772
588015510351249607  18.584742   0.916687  0.003717 dI       10 16.92 -14.77  1.05    41.4  0.5  SDSSJ011420.41+005503.2
588015507666960497  18.719523  -1.095353  0.006761 dS0n    -10 29.05 -16.02  1.45    40.4  0.62 SDSSJ011452.68-010543.2
587743981974650974  18.84512    8.099593  0.007812 SAcd      6 33.24 -17.09  2.39    61.4  0.74 UGC00803
587731511532060697  18.876839  -0.86098   0.005874 SABcd     6 25.51 -18.95  1.54   149.1  0.77 NGC0450
587731511532191838  19.087214  -0.911365  0.005576 dI       10 24.32 -15.12  1.07    26.9  0.85 SDSSJ011620.92-005440.8
758877280840910682  19.106185  33.431996 -0.000627 dSphun   -8  0.   -10.52  2.62     4.7  0.74 AndII
758877278149148728  19.18239   16.400064  0.006615 SAa       1 28.46 -18.74  1.74    88.2  0.76 CGCG459-021
587727226772258858  19.377137  -9.296768  0.006479 SAm       9 27.91 -16.47  1.11    73.9  0.37 SDSSJ011730.51-091748.3
587727179531747451  19.809026  -9.597428  0.006379 Im/BCD   12 27.5  -14.81  1.16    29.5  0.43 SHOC061
587731512606326893  20.028347  -0.205448  0.00581  Sdm       8 25.23 -17.18  1.52   106.6  0.29 UGC00866
588015510351970406  20.26232    0.851495  0.008134 dI       10 34.48 -15.83  1.02    24.4  0.69 SDSSJ012102.95+005105.3
587744045327319127  20.364876   7.018498  0.007495 Sa        1 31.94 -19.3   1.65   111.   0.39 NGC0485
588015509278359598  20.522909   0.08518   0.007569 SAdm      8 32.23 -15.84  1.58    77.8  0.14 FGC0156
588015510352101409  20.537435   0.945465  0.007799 Scd       6 33.14 -19.91  1.92   310.6  0.19 NGC0493
588015508204748937  20.810885  -0.700637  0.006625 Sd        7 28.46 -16.83  1.38    88.3  0.23 UGC00931
587743980364955756  20.93191    6.691629  0.007789 SABcd     6 33.09 -17.14  1.74    50.7  0.96 UGC00942
588015509278556295  20.984767   0.2085    0.007994 dI       10 33.91 -16.3   1.37    -9.  -9.   2MASXJ01235631+0012308
587744046401388638  21.146134   7.721121  0.00913  Sab       2 38.43 -18.59  1.63    97.4  0.28 UGC00964
587743981438894187  21.373313   7.561219  0.0093   SABm      9 39.1  -17.91  1.65    79.7  0.6  UGC00989
587731513143853174  21.519781   0.315259  0.006354 Sdm       8 27.36 -16.12  1.08    60.8  0.31 UGC01011
587743979828412492  21.598171   6.277936  0.007112 SAm       9 30.38 -17.75  1.6     78.1  0.8  UGC01014
588015510352560266  21.612669   0.9812    0.008064 Sdm       8 34.17 -16.3   1.61    58.3  0.3  SDSSJ012627.03+005852.3
588015508205142031  21.694162  -0.646134  0.0064   BCD      13 27.54 -16.54  0.74    32.   0.76 UM323
758877279771558652  21.948497  43.252175  0.004096 SABcd     6 18.34 -15.55  2.01    71.6  0.41 UGC01038
588015508205338847  22.160809  -0.675124  0.00638  dI       10 27.44 -14.62  1.32    24.6  0.79 SDSSJ012838.59-004030.4
587748061114269761  22.389655 -20.703915  0.005284 dI       10 23.07 -15.87  0.88    32.1  0.78 KUG0127-209
758877278696898593  22.499619  40.973972  0.009363 SAcd      6 39.32 -19.03  1.75    97.2  0.69 UGC01070
587724233179857137  22.564221  14.677561  0.008169 Sm/Im    10 34.56 -15.99  1.51    35.6  0.77 LSBCF612-01
758877278697029675  22.705554  41.257248  0.0093   SAa       1 39.06 -19.57  1.34    56.8  0.93 NGC0573
587744295500972166  22.827852   7.78969   0.002171 dI       10 10.63 -14.89  1.25    72.1  0.57 UGC01085
587724231569440811  22.899144  13.330858  0.009154 SABm      9 38.47 -16.97  1.41    64.2  0.35 SDSSJ013136.03+131952.6
587724198818087016  23.248153  14.373193  0.002196 IBm      10 10.72 -13.73  0.79    62.5  0.33 SDSSJ013259.73+142225.3
587724231569637480  23.32379   13.332027  0.009076 SBd       7 38.15 -18.64  1.77   168.3  0.21 UGC01110
587724233180512334  24.101667  14.529518  0.008796 Scd       6 37.01 -17.19  1.44    56.2  0.32 2MASXJ01362433+1431455
587740554051912061  24.149667  23.815503  0.001878 dI       10  9.42 -12.43  1.18    22.7  0.75 LEDA169957
587724199892156539  24.170507  15.086686  0.008758 dEblue   -9 36.86 -15.54  1.15    23.6  0.68 SDSSJ013640.92+150512.0
587731512071291182  24.283596  -0.564866  0.009716 SABdm     8 40.67 -16.44  1.34    40.6  0.62 SDSSJ013708.06-003353.5
587724199355351315  24.355581  14.658767  0.008636 Sm/Im    10 36.37 -15.7   1.47    37.6  0.6  SDSSCGB15610
587727180070584453  24.378409  -8.885494  0.006016 SAd       7 25.93 -17.06  1.6     68.7  0.55 MCG-02-05-026
587724233717514454  24.503481  14.982694  0.002477 dI       10 11.8  -13.83  0.98    27.7  0.86 SDSSJ013800.83+145857.6
587727179534172307  25.415302  -9.217773  0.006075 Sm/Im    10 26.13 -15.57  1.19    33.4  0.88 SDSSJ014139.58-091305.6
587724197745328228  25.530705  13.293376  0.00266  dI       10 12.5  -13.93  1.04    28.7  0.81 SDSSJ014207.32+131736.5
587724232644296723  25.612451  13.97698   0.002582 Sm/Im    10 12.19 -17.    1.21   237.2  0.21 IC0148
587724231570620458  25.701386  13.15595   0.002692 SAd       7 12.63 -17.11  1.3    123.4  0.54 UGC01200
587724232107491470  25.753953  13.640046  0.00285  SA0      -3 13.26 -18.27  2.56   133.   0.6  NGC0660
587724198282330199  25.979726  13.806384  0.007977 SAd       7 33.69 -17.1   1.76    62.9  0.67 UGC01211
587747981122011264  26.266004 -16.432273  0.005297 dI       10 23.   -16.35  1.1     50.7  0.76 6dFJ0145037-162556
587727180071632940  26.657973  -8.678092  0.006088 Sm/Im    10 26.15 -16.22  1.14    62.2  0.47 MCG-02-05-043
587727229449404639  27.046813 -10.187739  0.006757 dI       10 28.8  -15.37  1.11    28.9  0.81 SDSSJ014811.23-101115.8
587727229449470022  27.151705 -10.326209  0.005298 Sc        5 22.98 -17.4   1.74    71.8  0.48 MCG-02-05-051
587744293355454499  27.238817   5.907503  0.005023 Sa        1 21.88 -20.14  2.16   116.1  0.69 NGC0676
587727178461216862  27.293147 -10.061237  0.006641 SBdm      8 28.33 -18.68  1.6    120.3  0.83 UGCA021
587727177924345886  27.295166 -10.426478  0.005861 Sa        1 25.22 -19.98  2.78   164.6  0.68 NGC0681
587740556733251900  27.436453  22.374508  0.00989  SBm       9 41.27 -16.42  1.91    44.9  0.45 UGC01287
587727179535089808  27.477256  -9.228645  0.0066   dI       10 28.16 -15.16  0.99    60.1  0.16 SDSSJ014954.29-091341.2
587740557806993822  27.553727  23.158938  0.009527 Sm/Im    10 39.82 -16.94  2.04    52.6  0.65 UGC01294
587741506458746931  27.63021    6.144525  0.005227 Sa        1 22.68 -19.17  2.15   156.   0.4  NGC0693
587727177924542623  27.726906 -10.369555  0.006042 dI       10 25.93 -14.84  1.57    39.7  0.33 SDSSJ015054.44-102210.3
587740552442871814  27.743608  21.997379  0.00984  SABa      1 41.06 -19.73  1.42    59.6  0.93 NGC0694
587727229986603057  27.766697  -9.702326  0.006124 SBcd      6 26.25 -19.92  2.03   202.2  0.38 NGC0701
587727229986865335  28.255844  -9.63937   0.005488 dI       10 23.7  -13.9   0.95    25.   0.54 SDSSJ015301.30-093820.8
587740558881063060  28.476188  23.91284   0.00972  SABcd     6 40.56 -17.13  1.56    52.8  0.46 LEDA169959
587748062728683587  28.513385 -14.252847  0.004747 Sa        1 20.74 -18.45  2.36   108.3  0.42 MCG-02-05-072
587727180072485083  28.70621   -8.617837  0.001265 dI       10  6.84 -12.43  1.65    37.2  0.78 SDSSJ015449.49-083704.2
587727179535745084  29.094416  -9.061386  0.005477 SBcd      6 23.63 -19.31  1.6    168.4  0.38 NGC0755
587724234256678937  29.861263  14.834231  0.006986 dS0un   -10 29.62 -17.07  1.44    45.9  0.94 2MASXJ01592670+1450039
587727883893276782  30.22927   -8.840894  0.005442 SAm       9 23.46 -17.07  1.63    77.4  0.72 MCG-02-06-016
587727180073337109  30.695028  -8.457647  0.007502 Sm/Im    10 31.65 -15.46  1.4     45.6  0.4  SDSSJ020246.88-082727.3
587727177925984412  31.051871 -10.078504  0.006415 SAm       9 27.31 -16.72  1.36    57.5  0.79 MCG-02-06-022
587727177925984441  31.106657 -10.159726  0.006343 dI       10 27.02 -15.25  0.8     31.9  0.5  KUG0201-103
587727177925984363  31.145097 -10.108503  0.006397 SABd      7 27.23 -17.27  1.25    71.5  0.5  NGC0811
587727882283057207  31.200555  -9.983137  0.006269 dI       10 26.72 -15.44  1.07    29.6  0.81 SDSSJ020448.13-095859.3
587727178462921001  31.247398  -9.703382  0.00648  dI       10 27.56 -15.45  1.16    41.2  0.61 GALEXASCJ020459.36-094213
587727178462920898  31.252582  -9.693016  0.00648  dEblue   -9 27.56 -15.21  0.93    21.4  0.63 SDSSJ020500.61-094134.8
587727882819993672  31.315733  -9.562982  0.006526 dI       10 27.74 -14.99  1.      21.9  0.73 SDSSJ020515.77-093346.7
587727882283188229  31.454504  -9.821562  0.006428 SBm       9 27.35 -17.21  0.92    90.4  0.32 KUG0203-100
587727178463445085  32.367867  -9.680315  0.006464 Sc        3 27.46 -19.39  2.49   185.1  0.29 IC0210
587727179537252417  32.498891  -8.836433  0.005223 dEs/dI  -11 22.51 -16.56  1.05    47.1  0.47 MRK1025
587727178463510607  32.560167  -9.711039  0.006665 SAd       7 28.25 -18.29  1.23   159.2  0.29 KUG0207-099
587741507534651517  32.681217   6.758223  0.00534  Im/BCD   12  0.   -20.71  1.14    25.6  0.75 UGC01670
587727779742810176  32.923307  -9.304342  0.00527  Im       10 22.68 -18.72  1.22   110.5  0.74 NGC0853
587740555129323634  33.400272  23.258588  0.008179 dI       10 34.26 -15.66  1.28    32.   0.57 LEDA169963
587727179537842237  33.808261  -8.773424  0.0049   dI       10 21.17 -14.42  1.08    23.2  0.73 SHOC111
