,oid,ra,dec
0,CSS_J000020.4+103118,0.08504166666666667,10.521916666666666
1,CSS_J000031.5-084652,0.13125,-8.781194444444445
2,CSS_J000036.9+412805,0.15391666666666665,41.46825
3,CSS_J000037.5+390308,0.1564583333333333,39.05225
4,CSS_J000103.3+105724,0.2640416666666667,10.956777777777777
5,CSS_J000103.4+395744,0.2644166666666667,39.962361111111115
6,CSS_J000106.9+120610,0.279,12.10286111111111
7,CSS_J000110.8+400521,0.295375,40.089194444444445
8,CSS_J000131.5+324913,0.3814166666666666,32.82030555555556
9,CSS_J000141.2+421108,0.42200000000000004,42.18561111111111
10,CSS_J000142.2+374956,0.4261666666666667,37.83233333333333
11,CSS_J000153.9+323530,0.47474999999999995,32.591722222222224
12,CSS_J000204.0+285630,0.516875,28.941666666666666
13,CSS_J000205.9+300606,0.5245833333333333,30.101694444444444
14,CSS_J000207.1+424819,0.5297499999999999,42.80536111111111
15,CSS_J000215.5-171903,0.564625,-17.317611111111113
16,CSS_J000216.1-165109,0.5673333333333334,-16.852694444444445
17,CSS_J000217.0+242812,0.5708333333333333,24.470111111111112
18,CSS_J000227.0+433444,0.6127083333333333,43.57911111111111
19,CSS_J000227.3+410936,0.614125,41.16
20,CSS_J000231.3+425310,0.6305000000000001,42.88622222222222
21,CSS_J000253.5+314024,0.7232916666666667,31.673527777777778
22,CSS_J000300.2+270110,0.7511666666666666,27.019694444444443
23,CSS_J000309.5+193816,0.7898333333333334,19.637944444444443
24,CSS_J000332.7+141329,0.8865,14.22488888888889
25,CSS_J000335.0+160613,0.8961666666666667,16.103638888888888
26,CSS_J000343.5+073016,0.9312916666666666,7.504611111111111
27,CSS_J000346.5+181348,0.9437916666666667,18.230138888888888
28,CSS_J000358.9+122734,0.9955833333333333,12.459666666666667
29,CSS_J000400.6-090352,1.0025,-9.06461111111111
30,CSS_J000417.6-123341,1.0734583333333334,-12.561527777777778
31,CSS_J000427.0-193516,1.1125416666666668,-19.588
32,CSS_J000427.4+440349,1.11425,44.06377777777778
33,CSS_J000443.0-194247,1.179375,-19.713055555555556
34,CSS_J000448.0-054944,1.2001666666666666,-5.828944444444445
35,CSS_J000455.3+395050,1.230625,39.84725
